Name,Path,Size_MB,Date_Modified,File_Type,Folder
"Magazyn_134_06_185_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_185_0001.djvu",.38,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_136_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_136_0001.djvu",.47,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_300_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_300_0001.djvu",.49,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_070_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_070_0001.djvu",.37,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_246_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_246_0001.djvu",.39,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_252_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_252_0001.djvu",.25,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_064_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_064_0001.djvu",.44,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_314_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_314_0001.djvu",.53,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_122_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_122_0001.djvu",.46,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_158_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_158_0001.djvu",.47,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_191_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_191_0001.djvu",.44,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_228_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_228_0001.djvu",.42,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_045_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_045_0001.djvu",.38,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_273_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_273_0001.djvu",.13,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_103_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_103_0001.djvu",.46,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_335_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_335_0001.djvu",.52,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_179_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_179_0001.djvu",.44,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_209_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_209_0001.djvu",.45,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_321_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_321_0001.djvu",.14,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_117_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_117_0001.djvu",.47,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_267_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_267_0001.djvu",.11,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_098_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_098_0001.djvu",.37,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_051_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_051_0001.djvu",.40,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_016_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_016_0001.djvu",.47,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_220_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_220_0001.djvu",.44,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_199_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_199_0001.djvu",.38,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_150_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_150_0001.djvu",.49,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_293_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_293_0001.djvu",.16,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_287_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_287_0001.djvu",.10,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_078_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_078_0001.djvu",.42,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_308_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_308_0001.djvu",.33,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_144_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_144_0001.djvu",.46,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_234_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_234_0001.djvu",.36,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_002_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_002_0001.djvu",.23,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_059_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_059_0001.djvu",.47,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_090_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_090_0001.djvu",.42,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_329_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_329_0001.djvu",.43,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_165_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_165_0001.djvu",.49,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_353_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_353_0001.djvu",.44,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_023_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_023_0001.djvu",.15,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_215_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_215_0001.djvu",.10,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_201_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_201_0001.djvu",.10,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_037_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_037_0001.djvu",.45,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_347_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_347_0001.djvu",.38,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_171_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_171_0001.djvu",.40,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_084_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_084_0001.djvu",.37,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_194_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_194_0001.djvu",.37,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_257_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_257_0001.djvu",.17,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_061_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_061_0001.djvu",.45,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_311_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_311_0001.djvu",.14,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_127_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_127_0001.djvu",.41,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_133_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_133_0001.djvu",.44,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_305_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_305_0001.djvu",.14,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_075_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_075_0001.djvu",.46,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_243_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_243_0001.djvu",.40,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_239_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_239_0001.djvu",.13,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_149_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_149_0001.djvu",.43,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_180_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_180_0001.djvu",.46,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_324_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_324_0001.djvu",.40,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_112_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_112_0001.djvu",.39,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_262_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_262_0001.djvu",.44,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_054_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_054_0001.djvu",.40,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_218_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_218_0001.djvu",.39,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_168_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_168_0001.djvu",.35,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_089_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_089_0001.djvu",.46,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_040_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_040_0001.djvu",.42,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_276_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_276_0001.djvu",.24,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_106_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_106_0001.djvu",.45,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_330_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_330_0001.djvu",.37,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_025_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_025_0001.djvu",.43,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_213_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_213_0001.djvu",.45,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_163_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_163_0001.djvu",.40,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_355_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_355_0001.djvu",.42,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_119_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_119_0001.djvu",.43,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_096_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_096_0001.djvu",.40,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_269_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_269_0001.djvu",.10,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_082_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_082_0001.djvu",.45,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_341_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_341_0001.djvu",.44,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
"Magazyn_134_06_177_0001.djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin/Magazyn_134_06_177_0001.djvu",.15,"2025-12-13 14:32","djvu","05_Downloads/Old_Downloads/Existing_Folders/92488_Geschichte_des_Hauses_Leszczyc_von_Radolin_Radolin"
